location,day,so2,co,o3,no2,pm10,pm25
종로구,2023-12-19,.002,.6,.009,.036,24,17
종로구,2023-12-20,.002,.5,.029,.014,40,30
종로구,2023-12-21,.002,.4,.028,.012,20,16
종로구,2023-12-22,.002,.4,.026,.013,21,11
종로구,2023-12-23,.003,.7,.011,.036,32,23
종로구,2023-12-24,.003,.6,.011,.035,37,32
종로구,2023-12-25,.003,.7,.016,.032,43,39
종로구,2023-12-26,.004,.9,.011,.045,51,39
종로구,2023-12-27,.005,1.2,.007,.054,83,65
종로구,2023-12-28,.004,1,.009,.044,54,44
종로구,2023-12-29,.004,.8,.011,.037,45,37
종로구,2023-12-30,.003,.7,.009,.033,39,33
종로구,2023-12-31,.003,.7,.018,.024,22,18
종로구,2024-01-01,.003,.8,.016,.027,23,20
종로구,2024-01-02,.003,.5,.026,.019,41,32
종로구,2024-01-03,.003,.6,.024,.023,44,31
종로구,2024-01-04,.003,.7,.015,.034,56,40
종로구,2024-01-05,.004,.8,.02,.035,88,59
종로구,2024-01-06,.003,.4,.028,.015,24,15
종로구,2024-01-07,.003,.4,.029,.009,24,16
종로구,2024-01-08,.003,.5,.012,.027,23,16
종로구,2024-01-09,.003,.7,.002,.043,37,31
종로구,2024-01-10,.003,.8,.006,.039,71,65
종로구,2024-01-11,.004,.7,.009,.038,68,59
종로구,2024-01-12,.003,.6,.027,.02,55,41
종로구,2024-01-13,.004,.6,.02,.029,26,16
종로구,2024-01-14,.003,.8,.011,.037,34,29
종로구,2024-01-15,.003,.4,.028,.015,22,14
종로구,2024-01-16,.004,.7,.013,.039,32,22
종로구,2024-01-17,.003,.9,.003,.047,37,31
종로구,2024-01-18,.003,.6,.016,.028,26,23
종로구,2024-01-19,.003,.4,.033,.014,13,9
종로구,2024-01-20,.002,.3,.035,.009,4,2
종로구,2024-01-21,.002,.4,.029,.013,17,11
종로구,2024-01-22,.002,.4,.03,.01,33,25
종로구,2024-01-23,.002,.4,.031,.01,22,16
종로구,2024-01-24,.002,.4,.031,.013,23,14
종로구,2024-01-25,.003,.5,.025,.026,23,17
종로구,2024-01-26,.003,.6,.019,.045,34,27
종로구,2024-01-27,.003,.7,.026,.039,51,42
종로구,2024-01-28,.003,.5,.03,.03,30,25
종로구,2024-01-29,.003,.7,.02,.05,44,37
종로구,2024-01-30,.004,.9,.013,.069,58,49
종로구,2024-01-31,.004,.9,.022,.061,57,47
종로구,2024-02-01,.004,.8,.032,.037,83,69
종로구,2024-02-02,.003,.6,.021,.045,40,34
종로구,2024-02-03,.003,.6,.017,.045,33,28
종로구,2024-02-04,.003,.5,.025,.032,23,18
종로구,2024-02-05,.002,.3,.036,.018,6,3
종로구,2024-02-06,.002,.5,.025,.032,14,12
종로구,2024-02-07,.002,.6,.024,.031,33,31
종로구,2024-02-08,.003,.7,.025,.045,40,36
종로구,2024-02-09,.003,.6,.029,.037,34,30
종로구,2024-02-10,.003,.7,.038,.028,48,43
종로구,2024-02-11,.003,.7,.037,.026,68,63
종로구,2024-02-12,.003,.8,.024,.046,67,59
종로구,2024-02-13,.003,1,.017,.069,68,52
종로구,2024-02-14,.004,.8,.02,.058,52,35
종로구,2024-02-15,.003,.4,.031,.019,23,18
